consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,8.9887,14.2,15.4219
con1,9.41813,,14.2002,15.363
con2,13.796,12.5483,,9.29098
con3,13.7956,12.5482,8.67897,
