host,hit,cold_miss,suppress_miss,retry_miss
client0,803,30601,25,0
client1,1349,30163,50,0
client2,585,35251,5,0
client3,1145,29425,20,0
s0,3752,42323,2825,4968
s1,3679,42146,4563,6403
s2,1593,31863,677,5548
