segment	rtt	rttvar	srtt	rto
0	300.427	150.214	300.427	1502.14
1	301.852	142.774	300.463	1442.66
2	303.083	136.934	300.518	1395.99
3	304.426	131.392	300.599	1351.73
4	305.884	126.888	300.693	1315.8
5	307.464	122.598	300.814	1281.6
6	308.636	119.011	300.936	1253.03
7	309.983	115.575	301.078	1225.68
8	311.29	112.648	301.22	1202.4
9	312.717	109.838	301.379	1180.09
10	60.8979	113.104	298.373	1203.21
11	62.1073	116.183	295.42	1224.89
12	61.474	118.86	292.762	1243.64
13	62.8687	121.383	290.149	1261.22
14	64.0391	123.565	287.794	1276.32
15	65.6717	125.618	285.48	1290.43
16	65.2762	127.437	283.363	1302.86
17	66.6031	129.155	281.278	1314.52
18	67.9005	130.659	279.373	1324.65
19	68.3782	132.094	277.489	1334.24
20	68.9564	133.368	275.752	1342.69
21	70.1721	134.571	274.038	1350.61
22	70.6152	135.647	272.449	1357.63
23	71.1335	136.673	270.876	1364.26
24	71.1981	137.6	269.408	1370.21
25	71.9402	138.48	267.956	1375.8
26	71.9283	139.279	266.595	1380.83
27	72.533	140.04	265.247	1385.57
28	72.5746	140.733	263.98	1389.84
29	73.2173	141.391	262.725	1393.85
30	109.009	141.545	261.764	1394.12
31	110.24	141.67	260.817	1394.18
32	110.382	141.774	259.921	1394.11
33	111.717	141.851	259.039	1393.84
34	112.328	141.906	258.206	1393.45
35	113.192	141.941	257.382	1392.91
36	113.01	141.968	256.597	1392.34
37	113.712	141.978	255.821	1391.64
38	113.051	141.986	255.077	1390.96
39	114.031	141.976	254.342	1390.15
40	113.12	141.969	253.636	1389.38
41	115.356	141.932	252.945	1388.4
42	115.785	141.886	252.285	1387.37
43	116.957	141.823	251.635	1386.22
44	117.817	141.749	251.015	1385
45	119.08	141.658	250.405	1383.67
46	117.663	141.578	249.812	1382.44
47	118.351	141.488	249.225	1381.13
48	118.826	141.392	248.663	1379.8
49	120.204	141.281	248.109	1378.36
50	118.612	141.183	247.57	1377.03
51	119.859	141.07	247.038	1375.6
52	119.448	140.962	246.523	1374.22
53	120.279	140.843	246.014	1372.76
54	119.848	140.728	245.521	1371.35
55	121.129	140.601	245.035	1369.84
56	122.065	140.467	244.569	1368.31
57	124.247	140.314	244.114	1366.63
58	124.047	140.166	243.672	1365
59	124.889	140.008	243.236	1363.3
60	125.376	139.85	242.815	1361.62
61	126.158	139.684	242.398	1359.87
62	125.433	139.527	241.992	1358.21
63	126.848	139.357	241.592	1356.45
64	127.549	139.186	241.207	1354.7
65	128.94	139.004	240.828	1352.86
66	128.88	138.826	240.459	1351.07
67	130.214	138.638	240.097	1349.2
68	130.932	138.449	239.747	1347.34
69	131.641	138.255	239.4	1345.44
70	194.292	137.673	239.259	1340.64
71	194.98	137.089	239.121	1335.83
72	194.43	136.526	238.985	1331.19
73	195.213	135.96	238.851	1326.53
74	194.5	135.415	238.719	1322.04
75	195.19	134.868	238.59	1317.53
76	194.634	134.339	238.462	1313.18
77	195.324	133.809	238.336	1308.81
78	194.541	133.298	238.212	1304.59
79	195.318	132.784	238.09	1300.36
80	195.112	132.285	237.971	1296.25
81	195.907	131.784	237.854	1292.12
82	195.431	131.298	237.739	1288.12
83	196.468	130.809	237.627	1284.1
84	196.401	130.332	237.517	1280.18
85	197.056	129.854	237.409	1276.24
86	196.074	129.393	237.302	1272.45
87	196.668	128.931	237.196	1268.64
88	196.414	128.481	237.092	1264.94
89	197.111	128.03	236.99	1261.23
90	197.065	127.589	236.89	1257.6
91	197.73	127.147	236.792	1253.97
92	196.222	126.723	236.693	1250.47
93	196.83	126.297	236.595	1246.97
94	196.165	125.884	236.498	1243.57
95	196.878	125.469	236.403	1240.16
96	196.396	125.066	236.308	1236.84
97	197.097	124.661	236.216	1233.51
98	195.574	124.272	236.122	1230.3
99	196.254	123.881	236.029	1227.08
100	195.687	123.502	235.938	1223.95
101	196.387	123.12	235.848	1220.81
102	196.361	122.747	235.76	1217.73
103	197.764	122.368	235.675	1214.62
104	198.419	121.995	235.593	1211.55
105	199.794	121.617	235.515	1208.45
106	199.531	121.248	235.437	1205.42
107	200.908	120.874	235.363	1202.36
108	200.865	120.508	235.29	1199.35
109	202.272	120.137	235.22	1196.32
110	202.459	119.773	235.151	1193.34
111	203.865	119.405	235.086	1190.32
112	203.2	119.046	235.021	1187.39
113	204.566	118.683	234.958	1184.42
114	205.195	118.324	234.898	1181.49
115	205.845	117.964	234.84	1178.55
116	206.401	117.609	234.783	1175.66
117	207.818	117.249	234.73	1172.73
118	207.933	116.896	234.678	1169.85
119	208.65	116.541	234.627	1166.96
120	208.667	116.193	234.577	1164.12
121	209.387	115.843	234.528	1161.27
122	208.636	115.502	234.479	1158.5
123	209.275	115.16	234.432	1155.71
124	208.522	114.827	234.383	1153
125	209.855	114.49	234.337	1150.26
126	209.399	114.161	234.292	1147.58
127	210.752	113.828	234.248	1144.87
128	211.295	113.498	234.207	1142.19
129	212.826	113.165	234.168	1139.48
130	212.753	112.837	234.13	1136.83
131	213.683	112.507	234.093	1134.15
132	213.377	112.184	234.057	1131.53
133	214.757	111.857	234.023	1128.88
134	215.034	111.534	233.99	1126.26
135	216.228	111.209	233.959	1123.63
136	215.569	110.891	233.928	1121.05
137	216.884	110.569	233.898	1118.45
138	216.959	110.253	233.87	1115.89
139	218.377	109.933	233.844	1113.31
140	218.319	109.618	233.818	1110.76
141	219.699	109.3	233.794	1108.19
142	219.673	108.987	233.771	1105.67
143	220.391	108.672	233.749	1103.13
144	219.747	108.365	233.726	1100.65
145	221.092	108.054	233.706	1098.14
146	220.509	107.75	233.685	1095.69
147	221.807	107.443	233.666	1093.21
148	222.403	107.138	233.648	1090.76
149	223.819	106.83	233.632	1088.28
150	179.098	106.667	233.547	1086.88
151	180.435	106.5	233.464	1085.46
152	181.129	106.333	233.383	1084.04
153	181.965	106.163	233.304	1082.61
154	181.888	105.996	233.225	1081.19
155	182.594	105.827	233.148	1079.77
156	182.509	105.661	233.072	1078.36
157	183.097	105.493	232.997	1076.94
158	183.045	105.328	232.922	1075.55
159	183.737	105.161	232.849	1074.14
160	183.758	104.996	232.777	1072.75
161	184.423	104.829	232.706	1071.34
162	184.433	104.665	232.636	1069.96
163	185.109	104.499	232.567	1068.56
164	185.169	104.335	232.499	1067.18
165	185.839	104.169	232.432	1065.78
166	185.847	104.006	232.365	1064.41
167	186.458	103.84	232.3	1063.02
168	186.403	103.678	232.236	1061.66
169	187.12	103.513	232.172	1060.28
170	187.248	103.35	232.11	1058.91
171	187.865	103.186	232.048	1057.54
172	187.959	103.024	231.988	1056.18
173	188.504	102.86	231.928	1054.81
174	188.367	102.699	231.869	1053.46
175	189.019	102.537	231.811	1052.1
176	189.405	102.375	231.754	1050.75
177	190.825	102.21	231.699	1049.38
178	190.852	102.047	231.644	1048.02
179	191.546	101.882	231.591	1046.65
180	191.764	101.719	231.539	1045.29
181	192.261	101.554	231.487	1043.92
182	192.144	101.392	231.436	1042.57
183	192.87	101.229	231.386	1041.21
184	192.907	101.067	231.336	1039.87
185	193.63	100.904	231.287	1038.52
186	193.587	100.742	231.239	1037.18
187	194.318	100.58	231.192	1035.83
188	194.204	100.419	231.146	1034.5
189	194.914	100.257	231.1	1033.15
190	194.945	100.097	231.055	1031.83
191	195.577	99.935	231.01	1030.49
192	195.618	99.7753	230.966	1029.17
193	197.006	99.6124	230.924	1027.82
194	196.975	99.4498	230.882	1026.48
195	198.515	99.2821	230.842	1025.1
196	198.446	99.1149	230.801	1023.72
197	199.787	98.9429	230.762	1022.31
198	200.484	98.7695	230.724	1020.88
199	201.828	98.5913	230.687	1019.42
200	202.574	98.4115	230.651	1017.94
201	203.957	98.2267	230.617	1016.43
202	204.571	98.0406	230.583	1014.91
203	205.318	97.8511	230.55	1013.36
204	205.923	97.6604	230.518	1011.8
205	206.717	97.4661	230.487	1010.22
206	207.308	97.2706	230.457	1008.62
207	208.039	97.0715	230.427	1007
208	208.749	96.871	230.398	1005.37
209	210.087	96.6652	230.371	1003.69
210	210.731	96.4581	230.344	1002.01
211	211.475	96.2473	230.319	1000.3
212	212.083	96.0353	230.294	998.576
213	212.827	95.8194	230.27	996.825
214	212.18	95.6059	230.245	995.092
215	212.846	95.3886	230.221	993.33
216	212.142	95.1739	230.196	991.587
217	212.795	94.9554	230.171	989.815
218	212.835	94.7374	230.147	988.046
219	214.234	94.5135	230.124	986.232
220	213.497	94.2922	230.101	984.438
221	214.923	94.0649	230.079	982.598
222	215.559	93.8363	230.058	980.748
223	216.902	93.6017	230.039	978.853
224	216.967	93.3676	230.02	976.961
225	218.304	93.1275	230.003	975.023
226	217.653	92.8899	229.984	973.104
227	218.975	92.6462	229.968	971.138
232	216.203	92.4115	229.948	969.239
233	217.546	92.1705	229.929	967.293
234	218.793	91.9264	229.912	965.323
235	219.777	91.677	229.897	963.313
236	219.973	91.4278	229.882	961.304
237	220.493	91.1746	229.867	959.264
238	220.551	90.9219	229.853	957.228
239	221.968	90.6624	229.84	955.14
240	222.502	90.402	229.829	953.045
241	223.87	90.1348	229.82	950.898
242	223.824	89.8685	229.81	948.758
243	225.195	89.5953	229.803	946.565
244	225.133	89.3231	229.795	944.38
245	226.546	89.0436	229.79	942.139
246	226.571	88.765	229.785	939.904
247	227.92	88.4791	229.782	937.615
248	228.658	88.1918	229.78	935.314
249	230.02	87.8986	229.78	932.969
250	230.038	87.6065	229.781	930.632
251	231.482	87.3162	229.783	928.313
252	232.086	87.029	229.787	926.02
253	233.459	86.7436	229.794	923.742
254	234.119	86.4613	229.801	921.491
255	235.435	86.1806	229.811	919.256
256	236.223	85.9037	229.822	917.051
257	237.582	85.6285	229.836	914.864
258	237.563	85.3542	229.849	912.683
