I/O stats: 100 calls, 146 μs total, 1 μs avg
I/O stats: 200 calls, 312 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 154
I/O stats: 300 calls, 479 μs total, 1 μs avg
I/O stats: 400 calls, 595 μs total, 1 μs avg
I/O stats: 500 calls, 708 μs total, 1 μs avg
I/O stats: 600 calls, 817 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 77.9903
I/O stats: 700 calls, 925 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 39.951
ndnclient: pipeline-interests-adaptive.cpp:360: void ndn::get::PipelineInterestsAdaptive::enqueueForRetransmission(uint64_t): Assertion `m_nInFlight > 0' failed.
