I/O stats: 100 calls, 112 μs total, 1 μs avg
I/O stats: 200 calls, 265 μs total, 1 μs avg
I/O stats: 300 calls, 399 μs total, 1 μs avg
I/O stats: 400 calls, 512 μs total, 1 μs avg
I/O stats: 500 calls, 797 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 153
I/O stats: 600 calls, 954 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 154
I/O stats: 700 calls, 1056 μs total, 1 μs avg
I/O stats: 800 calls, 1150 μs total, 1 μs avg
I/O stats: 900 calls, 1277 μs total, 1 μs avg
I/O stats: 1000 calls, 1381 μs total, 1 μs avg
I/O stats: 1100 calls, 1527 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 77.4903
I/O stats: 1200 calls, 1636 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 77.9903
I/O stats: 1300 calls, 1756 μs total, 1 μs avg
I/O stats: 1400 calls, 1847 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 39.7011
I/O stats: 1500 calls, 1938 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 39.951
