time	cwndsize
0.2734	11
0.275175	12
0.276	13
0.27843	14
0.27887	15
0.280867	16
0.28174	17
0.283093	18
0.284719	19
0.285442	20
0.288021	21
0.289845	22
0.290274	23
0.292877	24
0.294965	25
0.296471	26
0.297574	27
0.299456	28
0.30043	29
0.302499	30
0.305007	31
0.305392	32
0.30703	33
0.307824	34
0.310035	35
0.311127	36
0.3125	37
0.314129	38
0.316648	39
0.319162	40
0.320814	41
0.326562	42
0.328194	43
0.328708	44
0.331514	45
0.331968	46
0.335306	47
0.336567	48
0.338898	49
0.34307	50
0.34346	51
0.347232	52
0.349133	53
0.350918	54
0.351316	55
0.35469	56
0.354977	57
0.358815	58
0.359758	59
0.361753	60
0.363114	61
0.364421	62
0.368632	63
0.368709	64
0.372282	65
0.372333	66
0.377583	67
0.379518	68
0.383268	69
0.385054	70
0.38567	71
0.390802	72
0.392009	73
0.394708	74
0.39735	75
0.397517	76
0.401804	77
0.403586	78
0.404385	79
0.405032	80
0.405097	81
0.407099	82
0.407181	83
0.408551	84
0.410558	85
0.412491	86
0.424622	87
0.429599	88
0.43011	89
0.430768	90
0.435417	91
0.440931	92
0.444003	93
0.446705	94
0.450329	95
0.451799	96
0.452196	97
0.457024	98
0.462955	99
0.471109	100
0.471282	101
0.474188	102
0.481972	103
0.485067	104
0.49019	105
0.495838	106
0.496046	107
0.496117	108
0.501302	109
0.50189	110
0.507102	111
0.507665	112
0.507805	113
0.51309	114
0.513601	115
0.514116	116
0.517854	117
0.524816	118
0.526378	119
0.530272	120
0.530496	121
0.534356	122
0.552285	123
0.552968	124
0.568958	125
0.570193	126
0.570387	127
0.570738	128
0.579432	129
0.584212	130
0.584718	131
0.584939	132
0.585189	133
0.590493	134
0.590863	135
0.591128	136
0.595747	137
0.601343	138
0.60147	139
0.601514	140
0.605025	141
0.606187	142
0.606851	143
0.613199	144
0.613727	72
0.613878	72.0139
0.613977	72.0278
0.617217	72.0417
0.617438	72.0556
0.617507	72.0694
0.617567	72.0833
0.617645	72.0972
0.617728	72.1111
0.617802	72.125
0.617984	72.1389
0.622662	72.1528
0.622982	72.1667
0.629779	72.1806
0.630006	72.1944
0.630215	72.2083
0.634645	72.2222
0.634718	72.2361
0.635257	72.25
0.635313	72.2639
0.635483	72.2778
0.635528	72.2917
0.635555	72.3056
0.635639	72.3194
0.639112	72.3333
0.64698	72.3472
0.652244	72.3611
0.652336	72.375
0.661863	72.3889
0.668772	72.4028
0.67223	72.4167
0.672377	72.4306
0.672772	72.4444
0.672948	72.4583
0.673157	72.4722
0.673277	72.4861
0.677527	72.5
0.677561	72.5139
0.683433	72.5278
0.683498	72.5417
0.683526	72.5556
0.69347	72.5694
0.695435	72.5833
0.699577	72.5972
0.699957	72.6111
0.700012	72.625
0.700038	72.6389
0.700064	72.6528
0.70497	72.6667
0.705145	72.6806
0.716096	72.6944
0.716151	72.7083
0.732573	72.7222
0.73264	72.7361
0.738773	72.75
0.743405	72.7639
0.743602	72.7778
0.743643	72.7917
0.743668	72.8056
0.74377	72.8194
0.753056	72.8333
0.753339	72.8472
0.753403	72.8611
0.756368	72.875
0.770475	72.8889
0.792293	72.9028
0.792715	72.9167
0.797221	72.9306
0.79768	72.9444
0.797907	72.9583
0.798273	72.9722
0.798317	72.9861
0.798705	73
0.801413	73.0139
0.801465	73.0276
0.801547	73.0413
0.801756	73.055
0.801889	73.0687
0.801996	73.0824
0.802114	73.0961
0.80225	73.1098
0.806898	73.1235
0.806935	73.1372
0.806998	73.1509
0.807288	73.1646
0.807407	73.1783
0.807658	73.192
0.807749	73.2057
0.812769	73.2194
0.812855	73.2331
0.813109	73.2468
0.813166	73.2605
0.813274	73.2742
0.813428	73.2879
0.813687	73.3016
0.81979	73.3153
0.820746	73.329
0.822779	73.3427
0.823951	73.3564
0.824157	73.3701
0.824804	73.3838
0.829244	73.3975
0.829334	73.4111
0.829623	73.4248
0.829849	73.4385
0.835215	73.4522
0.835317	73.4659
0.835449	73.4796
0.840291	73.4933
0.840324	73.507
0.840417	73.5207
0.840723	73.5344
0.841118	73.5481
0.841462	73.5618
0.841763	73.5755
0.842001	73.5892
0.845894	73.6029
0.846111	73.6166
0.846709	73.6303
0.847562	73.644
0.86303	73.6577
0.863121	73.6714
0.863296	73.6851
0.863533	73.6988
0.867715	73.7125
0.868081	73.7262
0.86817	73.7399
0.869692	73.7536
0.8732	73.7673
0.87341	73.781
0.873561	73.7947
0.873759	73.8084
0.873817	73.8221
0.879076	73.8358
0.87922	73.8495
0.884102	73.8632
0.884172	73.8769
0.884216	73.8906
0.890337	73.9043
0.891112	73.918
0.891331	73.9317
0.895183	73.9454
0.895351	73.9591
0.895574	73.9728
0.896091	73.9865
0.900997	74.0002
0.901294	74.0137
0.901706	74.0272
0.901972	74.0407
0.902141	37.0204
0.902289	37.0474
0.906179	37.0744
0.906222	37.1014
0.906247	37.1285
0.90627	37.1555
0.906291	37.1825
0.906314	37.2096
0.906393	37.2366
0.90646	37.2636
0.911876	37.2906
0.912002	37.3177
0.912232	37.3447
0.912401	37.3717
0.912594	37.3987
0.913011	37.4258
0.913208	37.4528
0.917624	37.4798
0.917836	37.5069
0.917907	37.5339
0.918121	37.5609
0.918198	37.5879
0.922702	37.615
0.92352	37.642
0.933287	37.669
0.933444	37.696
0.933497	37.7231
0.933574	37.7501
0.933686	37.7771
0.933785	37.8041
0.933839	37.8312
0.938978	37.8582
0.939286	37.8852
0.939307	37.9123
0.939316	37.9393
0.939326	37.9663
0.939817	37.9933
0.93988	38.0204
0.944652	38.0467
