segment	rtt	rttvar	srtt	rto
0	330.226	165.113	330.226	1651.13
1	330.849	156.888	330.241	1585.35
2	332.244	150.435	330.283	1533.76
3	333.59	144.304	330.352	1484.79
4	335.006	139.317	330.435	1444.97
5	335.657	134.528	330.528	1406.75
6	337.033	130.527	330.63	1374.85
7	338.436	126.692	330.752	1344.29
8	339.804	123.424	330.878	1318.27
9	340.505	120.263	331.011	1293.12
10	18.6821	125.065	327.107	1327.63
11	20.0529	129.615	323.269	1360.19
12	20.8008	133.543	319.832	1388.18
13	21.4865	137.289	316.442	1414.75
14	21.467	140.574	313.369	1437.96
15	22.8538	143.698	310.343	1459.92
16	22.8758	146.462	307.579	1479.28
17	23.552	149.108	304.848	1497.71
18	23.5181	151.469	302.336	1514.09
19	24.9495	153.717	299.859	1529.6
20	25.6202	155.726	297.574	1543.38
21	26.3344	157.651	295.313	1556.52
22	26.2899	159.392	293.212	1568.34
23	27.6688	161.05	291.137	1579.54
24	27.6799	162.556	289.2	1589.65
25	28.3711	164.001	287.282	1599.29
26	28.3795	165.319	285.484	1608.04
27	29.7286	166.575	283.708	1616.31
28	30.4156	167.716	282.042	1623.77
29	31.165	168.811	280.391	1630.88
30	40.2574	169.702	278.89	1636.51
31	41.6106	170.547	277.407	1641.78
32	41.6018	171.324	276.004	1646.59
33	42.9809	172.058	274.617	1651.08
34	42.2722	172.743	273.297	1655.24
35	43.6536	173.39	271.992	1659.11
36	44.4541	173.979	270.755	1662.58
37	45.7488	174.533	269.532	1665.8
38	45.0395	175.054	268.363	1668.79
39	46.4118	175.542	267.207	1671.54
40	46.4113	175.995	266.103	1674.06
41	47.8178	176.418	265.012	1676.35
42	47.1131	176.816	263.964	1678.5
43	48.4926	177.188	262.928	1680.43
44	49.1917	177.527	261.939	1682.15
45	50.5572	177.84	260.96	1683.68
46	49.8551	178.137	260.018	1685.11
47	51.2215	178.411	259.085	1686.37
48	51.1581	178.665	258.189	1687.51
49	52.5605	178.898	257.303	1688.48
50	51.9136	179.118	256.447	1689.39
51	53.308	179.319	255.601	1690.15
52	53.9577	179.499	254.788	1690.78
53	55.3531	179.659	253.983	1691.26
54	54.6904	179.813	253.205	1691.71
55	56.0546	179.948	252.435	1692.02
56	56.0632	180.073	251.691	1692.27
57	57.4567	180.18	250.955	1692.39
58	56.7617	180.283	250.241	1692.51
59	58.1336	180.37	249.535	1692.49
60	58.8137	180.444	248.854	1692.4
61	60.2139	180.502	248.18	1692.2
62	59.5613	180.559	247.525	1692
63	60.8591	180.601	246.877	1691.69
64	60.8731	180.638	246.249	1691.35
65	62.237	180.66	245.627	1690.91
66	62.2729	180.678	245.024	1690.45
67	62.9539	180.687	244.425	1689.92
68	63.7317	180.687	243.846	1689.34
69	64.9319	180.676	243.272	1688.68
70	83.2432	180.547	242.772	1687.15
71	84.5811	180.407	242.278	1685.54
72	84.6649	180.268	241.797	1683.94
73	85.9766	180.119	241.322	1682.28
74	85.3257	179.976	240.858	1680.66
75	86.6764	179.822	240.399	1678.98
76	86.6877	179.67	239.952	1677.31
77	88.1681	179.508	239.511	1675.58
78	88.0891	179.349	239.081	1673.87
79	89.4632	179.18	238.656	1672.09
80	89.4597	179.013	238.241	1670.35
81	90.8274	178.838	237.832	1668.53
82	90.0578	178.669	237.43	1666.78
83	91.4782	178.491	237.034	1664.96
84	91.4778	178.316	236.647	1663.17
85	92.8699	178.132	236.264	1661.32
86	92.8775	177.951	235.891	1659.5
87	94.2889	177.762	235.522	1657.62
88	94.2665	177.575	235.162	1655.77
89	95.6171	177.381	234.806	1653.86
90	94.9392	177.194	234.456	1652.01
91	96.3011	176.999	234.111	1650.1
92	96.2876	176.807	233.773	1648.23
93	97.6391	176.607	233.439	1646.3
94	97.6808	176.411	233.113	1644.4
95	99.0585	176.207	232.791	1642.45
96	99.0759	176.007	232.475	1640.53
97	100.4	175.8	232.164	1638.56
98	99.7708	175.599	231.857	1636.65
99	101.124	175.391	231.555	1634.68
100	101.094	175.187	231.258	1632.75
101	102.594	174.975	230.966	1630.77
102	102.501	174.768	230.679	1628.82
103	103.904	174.553	230.396	1626.82
104	103.86	174.343	230.119	1624.86
105	105.235	174.126	229.845	1622.85
106	104.582	173.915	229.575	1620.9
107	105.951	173.698	229.308	1618.9
108	105.207	173.488	229.045	1616.95
109	105.899	173.275	228.785	1614.98
110	105.975	173.065	228.529	1613.05
111	106.623	172.851	228.275	1611.09
112	105.909	172.645	228.024	1609.18
113	106.603	172.435	227.775	1607.25
114	105.94	172.231	227.53	1605.37
115	106.628	172.024	227.286	1603.47
116	105.892	171.823	227.045	1601.63
117	106.598	171.619	226.806	1599.76
118	106.637	171.418	226.571	1597.91
119	107.991	171.211	226.34	1596.03
120	108.006	171.008	226.112	1594.18
121	108.676	170.802	225.886	1592.3
122	108.686	170.599	225.664	1590.46
123	110.057	170.391	225.445	1588.57
124	109.345	170.188	225.229	1586.73
125	110.735	169.98	225.015	1584.86
126	111.473	169.773	224.806	1582.99
127	112.849	169.56	224.601	1581.08
128	112.833	169.351	224.398	1579.2
129	113.543	169.139	224.197	1577.31
130	113.544	168.93	224	1575.44
131	114.891	168.716	223.805	1573.54
132	114.191	168.508	223.612	1571.68
133	114.902	168.298	223.42	1569.8
134	114.88	168.09	223.232	1567.95
135	116.235	167.878	223.046	1566.07
136	116.296	167.669	222.863	1564.21
137	116.998	167.457	222.682	1562.34
138	116.293	167.251	222.502	1560.51
139	116.995	167.042	222.324	1558.66
140	117.012	166.836	222.149	1556.84
141	117.678	166.629	221.975	1555
142	117.658	166.424	221.803	1553.19
143	118.369	166.216	221.633	1551.36
144	118.347	166.012	221.465	1549.56
145	119.777	165.803	221.3	1547.73
146	118.908	165.6	221.136	1545.94
147	120.232	165.393	220.974	1544.12
148	119.726	165.19	220.814	1542.33
149	120.416	164.985	220.655	1540.53
150	130.36	164.751	220.514	1538.52
