segment	rtt	rttvar	srtt	rto
0	289.692	144.846	289.692	1448.46
1	296.428	137.94	289.86	1393.38
2	296.53	132.471	289.999	1349.77
3	298.062	127.287	290.167	1308.46
4	301.451	123.144	290.369	1275.52
5	302.678	119.186	290.588	1244.07
6	304.95	115.91	290.813	1218.09
7	307.101	112.797	291.067	1193.44
8	311.015	110.218	291.344	1173.09
9	313.109	107.761	291.647	1153.73
10	34.2533	111.501	288.429	1180.44
11	35.2544	115.043	285.265	1205.61
12	42.7238	117.941	282.508	1226.04
13	43.2389	120.698	279.79	1245.38
14	43.6844	123.103	277.33	1262.15
15	49.008	125.295	274.952	1277.31
16	47.8387	127.253	272.768	1290.79
17	48.0548	129.127	270.607	1303.62
18	49.632	130.767	268.634	1314.77
19	52.7109	132.288	266.706	1325.01
20	51.67	133.667	264.914	1334.25
21	53.641	134.96	263.154	1342.84
22	51.4361	136.16	261.5	1350.78
23	51.5588	137.313	259.86	1358.36
24	53.0597	138.334	258.339	1365.01
25	53.2204	139.317	256.831	1371.36
26	54.5277	140.191	255.426	1376.96
27	54.6718	141.033	254.032	1382.29
28	52.7895	141.825	252.708	1387.31
29	54.3272	142.569	251.403	1391.95
30	55.1846	143.24	250.176	1396.09
31	55.3518	143.884	248.959	1400.03
32	54.5338	144.486	247.801	1403.69
33	57.9389	145.026	246.671	1406.88
34	61.6022	145.481	245.62	1409.47
35	62.0828	145.914	244.577	1411.89
36	61.788	146.315	243.583	1414.1
37	62.0496	146.697	242.597	1416.18
38	61.6377	147.054	241.654	1418.09
39	64.348	147.369	240.731	1419.69
40	65.8406	147.645	239.856	1421.01
41	65.9039	147.908	238.987	1422.25
42	67.0617	148.139	238.16	1423.27
43	67.1277	148.359	237.338	1424.21
44	66.9848	148.562	236.549	1425.05
45	68.3671	148.744	235.771	1425.72
46	76.8785	148.835	235.061	1425.74
47	77.0096	148.917	234.356	1425.69
48	74.5609	149.011	233.667	1425.75
49	77.684	149.071	232.994	1425.56
50	79.7758	149.105	232.356	1425.2
51	82.6645	149.11	231.732	1424.61
52	81.5601	149.119	231.127	1424.08
53	81.6074	149.122	230.524	1423.5
54	82.7217	149.112	229.947	1422.84
55	82.7752	149.097	229.372	1422.14
56	87.7836	149.038	228.819	1421.12
57	88.2023	148.97	228.252	1420.01
58	87.0486	148.907	227.682	1418.94
59	87.9769	148.831	227.1	1417.75
60	90.0812	148.732	226.529	1416.39
61	90.6584	148.621	225.944	1414.91
62	107.455	148.362	225.433	1412.33
63	107.681	148.088	224.907	1409.61
64	107.794	147.812	224.384	1406.88
65	108.016	147.521	223.846	1404.01
66	112.687	147.184	223.331	1400.8
67	112.82	146.831	222.8	1397.45
68	111.414	146.49	222.264	1394.19
69	111.453	146.134	221.71	1390.78
70	129.019	145.599	221.247	1386.04
71	129.069	145.043	220.767	1381.11
72	130.283	144.474	220.295	1376.09
73	130.344	143.882	219.806	1370.86
74	137.301	143.215	219.358	1365.08
75	137.386	142.519	218.892	1359.04
76	134.015	141.864	218.41	1353.32
77	134.083	141.179	217.908	1347.34
78	138.214	140.447	217.434	1341.01
79	138.335	139.68	216.939	1334.38
80	143.365	138.854	216.479	1327.31
81	143.672	137.985	216	1319.88
82	148.406	137.058	215.556	1312.02
83	148.477	136.086	215.09	1303.78
84	148.407	135.123	214.627	1295.61
85	148.473	134.108	214.14	1287.01
86	148.385	133.103	213.657	1278.48
87	153.444	131.964	213.187	1268.9
88	151.57	130.865	212.705	1259.63
89	151.779	129.772	212.229	1250.41
90	160.495	128.553	211.825	1240.25
91	160.567	127.345	211.425	1230.19
92	165.923	126.066	211.069	1219.6
93	167.244	124.781	210.727	1208.98
94	165.887	123.532	210.376	1198.63
95	166.125	122.293	210.031	1188.38
96	170.403	121.002	209.721	1177.74
97	170.631	119.722	209.416	1167.19
98	171.951	118.437	209.123	1156.62
99	172.344	117.161	208.836	1146.12
100	173.702	115.879	208.561	1135.59
101	173.798	114.612	208.29	1125.18
102	189.047	113.121	208.139	1113.11
103	193.29	111.586	208.023	1100.71
104	193.299	110.073	207.908	1088.49
105	193.402	108.579	207.795	1076.43
106	203.376	107.048	207.762	1064.14
107	205.375	105.508	207.745	1051.81
111	203.42	104.02	207.713	1039.88
112	201.014	102.589	207.664	1028.38
113	201.081	101.177	207.615	1017.03
114	206.411	99.7072	207.607	1005.26
