segment	rtt	rttvar	srtt	rto
0	268.695	134.348	268.695	1343.48
1	270.278	127.709	268.735	1290.41
2	271.369	122.498	268.79	1248.77
3	273.406	117.586	268.886	1209.58
4	274.732	113.595	268.99	1177.75
5	276.159	109.795	269.118	1147.47
6	277.531	106.626	269.25	1122.26
7	280.252	103.638	269.422	1098.53
8	283.216	101.142	269.613	1078.75
9	287.25	98.8228	269.858	1060.44
10	21.2011	102.569	266.75	1087.3
11	22.3213	106.115	263.695	1112.62
12	24.2327	109.146	260.973	1134.14
13	24.2701	112.045	258.284	1154.64
14	24.18	114.588	255.845	1172.55
15	25.7472	116.994	253.448	1189.4
16	24.859	119.14	251.25	1204.37
17	26.2536	121.176	249.087	1218.49
18	26.3515	122.989	247.098	1231.01
19	27.6905	124.711	245.139	1242.83
20	27.6876	126.257	243.327	1253.38
21	31.0744	127.69	241.558	1263.08
22	32.4304	128.963	239.924	1271.63
23	35.1704	130.147	238.325	1279.5
24	35.193	131.22	236.831	1286.59
25	37.9667	132.215	235.369	1293.09
26	37.7508	133.123	233.997	1298.98
27	39.0887	133.981	232.643	1304.49
28	36.4189	134.8	231.352	1309.76
29	37.8456	135.573	230.079	1314.66
30	38.5753	136.272	228.882	1319.06
31	38.68	136.946	227.693	1323.26
32	40.4667	137.545	226.579	1326.94
33	41.0445	138.116	225.475	1330.4
34	45.8031	138.588	224.454	1333.16
35	46.4312	139.036	223.442	1335.73
36	47.054	139.442	222.484	1338.02
37	47.7493	139.826	221.534	1340.14
38	47.385	140.183	220.627	1342.09
39	48.0338	140.521	219.728	1343.9
40	47.2059	140.841	218.865	1345.59
41	47.8596	141.143	218.01	1347.15
42	47.5086	141.425	217.191	1348.59
43	48.3336	141.689	216.379	1349.89
44	47.8955	141.937	215.599	1351.09
45	48.0652	142.174	214.823	1352.21
46	48.843	142.386	214.082	1353.17
47	50.3585	142.577	213.351	1353.97
48	50.2103	142.754	212.648	1354.68
49	51.7333	142.911	211.954	1355.24
50	51.5547	143.057	211.286	1355.74
51	52.8977	143.184	210.626	1356.1
52	50.8988	143.318	209.982	1356.52
