consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,10.0734,14.1294,13.0045
con1,10.9022,,14.1334,13.0041
con2,14.5323,17.6531,,9.0971
con3,17.0512,16.6015,9.20382,
