I/O stats: 100 calls, 95 μs total, 0 μs avg
I/O stats: 200 calls, 201 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 144
I/O stats: 300 calls, 313 μs total, 1 μs avg
I/O stats: 400 calls, 401 μs total, 1 μs avg
I/O stats: 500 calls, 514 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 72.9897
I/O stats: 600 calls, 597 μs total, 0 μs avg
I/O stats: 700 calls, 680 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 37.4477
Received congestion mark, value = 1, new cwnd = 19.6615
