I/O stats: 100 calls, 90 μs total, 0 μs avg
I/O stats: 200 calls, 182 μs total, 0 μs avg
I/O stats: 300 calls, 290 μs total, 0 μs avg
I/O stats: 400 calls, 396 μs total, 0 μs avg
I/O stats: 500 calls, 482 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 145
I/O stats: 600 calls, 575 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 150
I/O stats: 700 calls, 653 μs total, 0 μs avg
I/O stats: 800 calls, 741 μs total, 0 μs avg
I/O stats: 900 calls, 811 μs total, 0 μs avg
I/O stats: 1000 calls, 897 μs total, 0 μs avg
I/O stats: 1100 calls, 979 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 73.4897
I/O stats: 1200 calls, 1072 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 75.9901
I/O stats: 1300 calls, 1185 μs total, 0 μs avg
I/O stats: 1400 calls, 1272 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 37.6985
I/O stats: 1500 calls, 1482 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 38.9498
