time	cwndsize
0.312042	11
0.313596	12
0.317682	13
0.319657	14
0.322849	15
0.326258	16
0.328834	17
0.330493	18
0.330543	19
0.33741	20
0.372851	21
0.375736	22
0.378213	23
0.384704	24
0.386813	25
0.387625	26
0.394568	27
0.398226	28
0.399567	29
0.400988	30
0.409678	31
0.412869	32
0.413742	33
0.414014	34
0.421771	35
0.428162	36
0.429085	37
0.434866	38
0.442744	39
0.444943	40
0.538814	41
0.539104	42
0.565543	43
0.570286	44
0.570477	45
0.570943	46
0.571346	47
0.575973	48
0.581322	49
0.581748	50
0.586522	51
0.586589	52
0.593373	53
0.593711	54
0.597747	55
0.598013	56
0.60301	57
0.603817	58
0.604331	59
0.608364	60
0.609441	61
0.614282	62
0.614362	63
0.614655	64
0.619278	65
0.619344	66
0.619594	67
0.619925	68
0.636343	69
0.636709	70
0.637251	71
0.641622	72
0.648174	73
0.649036	74
0.652419	75
0.653779	76
0.670612	77
0.674736	78
0.675819	79
0.676421	80
0.801307	81
0.80284	82
0.805456	83
0.805605	84
0.835724	85
0.838249	86
0.838643	87
0.844484	88
0.845313	89
0.845784	90
0.849285	91
0.849525	92
0.854577	93
0.854697	94
0.854734	95
0.855162	96
0.860451	97
0.890462	98
0.89095	99
0.891174	100
0.898518	101
0.898693	102
0.898734	103
0.898912	104
0.89921	52
0.903867	52.0192
0.904048	52.0385
0.904109	52.0577
0.904426	52.0769
0.910094	52.0962
0.910141	52.1154
0.914885	52.1346
0.914942	52.1538
0.915013	52.1731
0.91507	52.1923
0.915116	52.2115
0.915179	52.2308
0.915206	52.25
0.920609	52.2692
0.920793	52.2885
0.92096	52.3077
0.921153	52.3269
0.921436	52.3462
0.926061	52.3654
0.932356	52.3846
0.932705	52.4038
0.932861	52.4231
0.93299	52.4423
0.933209	52.4615
0.942897	52.4808
0.947971	52.5
0.94916	52.5192
0.953235	52.5385
0.953496	52.5577
0.958806	52.5769
0.959165	52.5962
1.01511	52.6154
1.01917	52.6346
1.01942	52.6538
1.02448	52.6731
1.02555	52.6923
1.02569	52.7115
1.02596	52.7308
